id,tên,loại,thành phần,option,option_json,canonical_description,structured_tags,health_profile,context_suitability,
187,cà phê phin,thức uống,"cà phê phin, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}",Cà phê phin là thức uống đậm vị và nhiều caffein. Không phù hợp người dạ dày yếu hoặc cao huyết áp.,"{""type"":""thức uống"",""taste"":[""bitter""],""ingredients"":[""cà phê phin"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_focus""],""avoid_for"":[""high_blood_pressure"",""weak_stomach"",""gastritis"",""heart_disease""]}","{""good_for"":[""need_focus""],""bad_for"":[""high_blood_pressure"",""weak_stomach"",""gastritis"",""heart_disease""]}","{""morning"":true,""noon"":true,""evening"":false,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":false,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
188,trà sen,thức uống,"trà sen, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà sen là thức uống thanh nhẹ, thơm và dễ uống. Phù hợp thư giãn; không phù hợp người tiểu đường nếu thêm nhiều đường.","{""type"":""thức uống"",""taste"":[""light"",""sweet""],""ingredients"":[""trà sen"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_relax""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
189,trà hoa cúc,thức uống,"hoa cúc, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà hoa cúc là thức uống thanh mát, thơm nhẹ và có tác dụng thư giãn. Không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""light"",""sweet"",""floral""],""ingredients"":[""hoa cúc"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_relax""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
190,trà gừng,thức uống,"trà, gừng, đường","đường (nhiều/ít), gừng (nhiều/ít)","{""đường"": [""nhiều"", ""ít""], ""gừng"": [""nhiều"", ""ít""]}","Trà gừng là thức uống ấm, cay nhẹ giúp làm ấm cơ thể và hỗ trợ tiêu hóa. Không phù hợp người đau dạ dày nặng do vị cay.","{""type"":""thức uống"",""taste"":[""spicy"",""warm"",""sweet""],""ingredients"":[""trà"",""gừng"",""đường""],""options"":[""đường (nhiều/ít)"",""gừng (nhiều/ít)""],""suitable_for"":[""cold_weather"",""indigestion"",""poor_digestive_system""],""avoid_for"":[""gastritis"",""weak_stomach""]}","{""good_for"":[""cold_weather"",""indigestion"",""poor_digestive_system""],""bad_for"":[""gastritis"",""weak_stomach""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":false,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
191,trà đào cam sả,thức uống,"trà, đào, cam, sả, đá","đá (nhiều/ít/không), đào (nhiều/ít), cam (nhiều/ít), sả (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đào"": [""nhiều"", ""ít""], ""cam"": [""nhiều"", ""ít""], ""sả"": [""nhiều"", ""ít""]}","Trà đào cam sả là thức uống thanh mát, thơm dịu và có vị ngọt chua nhẹ. Phù hợp thời tiết nóng; không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""sweet"",""fresh"",""citrus"",""light""],""ingredients"":[""trà"",""đào"",""cam"",""sả"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đào (nhiều/ít)"",""cam (nhiều/ít)"",""sả (nhiều/ít)""],""suitable_for"":[""hot_weather"",""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""hot_weather"",""need_relax""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
192,trà sữa ô long,thức uống,"trà ô long, sữa, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít), sữa (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""], ""sữa"": [""nhiều"", ""ít""]}","Trà sữa ô long là thức uống thơm đậm vị trà, béo nhẹ và ngọt dịu. Không phù hợp người tiểu đường hoặc béo phì nếu dùng nhiều đường và sữa.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty"",""tea""],""ingredients"":[""trà ô long"",""sữa"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít)"",""sữa (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
193,trà chanh honey,thức uống,"trà, chanh, mật ong, đá","đá (nhiều/ít/không), mật ong (nhiều/ít), chanh (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""mật_ong"": [""nhiều"", ""ít""], ""chanh"": [""nhiều"", ""ít""]}","Trà chanh mật ong là thức uống thanh mát, ngọt nhẹ và hỗ trợ làm dịu cổ họng. Không phù hợp người tiểu đường do mật ong có hàm lượng đường cao.","{""type"":""thức uống"",""taste"":[""sweet"",""sour"",""fresh"",""light""],""ingredients"":[""trà"",""chanh"",""mật ong"",""đá""],""options"":[""đá (nhiều/ít/không)"",""mật ong (nhiều/ít)"",""chanh (nhiều/ít)""],""suitable_for"":[""sore_throat"",""hot_weather""],""avoid_for"":[""diabetes""]}","{""good_for"":[""sore_throat"",""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":true,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
194,trà sữa khoai môn,thức uống,"trà, khoai môn, sữa, đá","đá (nhiều/ít/không), khoai môn (nhiều/ít), sữa (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""khoai_môn"": [""nhiều"", ""ít""], ""sữa"": [""nhiều"", ""ít""]}","Trà sữa khoai môn là thức uống ngọt béo, thơm mùi khoai môn. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty""],""ingredients"":[""trà"",""khoai môn"",""sữa"",""đá""],""options"":[""đá (nhiều/ít/không)"",""khoai môn (nhiều/ít)"",""sữa (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
195,trà hibiscus,thức uống,"hibiscus, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà hibiscus có vị chua nhẹ, màu đẹp và giúp hỗ trợ huyết áp. Không phù hợp người tiểu đường nếu thêm nhiều đường.","{""type"":""thức uống"",""taste"":[""sour"",""sweet"",""light""],""ingredients"":[""hibiscus"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""high_blood_pressure"",""hot_weather""],""avoid_for"":[""diabetes""]}","{""good_for"":[""high_blood_pressure"",""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
196,trà bí đao,thức uống,"bí đao, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà bí đao là thức uống thanh mát, ngọt nhẹ và giải nhiệt tốt. Không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""sweet"",""light"",""fresh""],""ingredients"":[""bí đao"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""hot_weather""],""avoid_for"":[""diabetes""]}","{""good_for"":[""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
197,trà lài hoa nhài,thức uống,"trà lài, hoa nhài, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà lài hoa nhài là thức uống thơm dịu, thanh nhẹ và giúp thư giãn. Không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""light"",""sweet"",""floral""],""ingredients"":[""trà lài"",""hoa nhài"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_relax""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
198,trà ô long,thức uống,"trà ô long, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà ô long là thức uống đậm vị trà, hỗ trợ tiêu hóa và tỉnh táo. Không phù hợp người tiểu đường nếu thêm nhiều đường.","{""type"":""thức uống"",""taste"":[""tea"",""light"",""sweet""],""ingredients"":[""trà ô long"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_focus"",""poor_digestive_system""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_focus"",""poor_digestive_system""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
199,trà sữa matcha,thức uống,"matcha, sữa, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít), sữa (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""], ""sữa"": [""nhiều"", ""ít""]}","Trà sữa matcha là thức uống ngọt béo, thơm matcha và giàu năng lượng. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty"",""bitter""],""ingredients"":[""matcha"",""sữa"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít)"",""sữa (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
200,trà hoa hồng,thức uống,"trà hoa hồng, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà hoa hồng là thức uống thơm dịu, thanh mát và giúp giảm căng thẳng. Không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""floral"",""light"",""sweet""],""ingredients"":[""trà hoa hồng"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_relax""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
201,trà sữa chocolate,thức uống,"chocolate, sữa, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít), sữa (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""], ""sữa"": [""nhiều"", ""ít""]}","Trà sữa chocolate là thức uống ngọt béo, đậm vị cacao. Không phù hợp người tiểu đường hoặc béo phì.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty"",""chocolate""],""ingredients"":[""chocolate"",""sữa"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít)"",""sữa (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
202,trà cam thảo,thức uống,"trà cam thảo, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà cam thảo có vị ngọt tự nhiên, thanh mát và tốt cho cổ họng. Không phù hợp người tiểu đường nếu thêm nhiều đường.","{""type"":""thức uống"",""taste"":[""sweet"",""light"",""herbal""],""ingredients"":[""trà cam thảo"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""sore_throat"",""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""sore_throat"",""need_relax""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
203,trà sữa dâu tây,thức uống,"dâu tây, sữa, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít), sữa (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít""], ""sữa"": [""nhiều"", ""ít""]}","Trà sữa dâu tây là thức uống ngọt béo, thơm mùi dâu. Không phù hợp người tiểu đường, béo phì hoặc gan nhiễm mỡ.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty"",""fruity""],""ingredients"":[""dâu tây"",""sữa"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít)"",""sữa (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
204,trà bạc hà,thức uống,"bạc hà, trà, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà bạc hà là thức uống thanh mát, the nhẹ và giúp tỉnh táo. Không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""fresh"",""mint"",""light"",""sweet""],""ingredients"":[""bạc hà"",""trà"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_focus"",""hot_weather""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_focus"",""hot_weather""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
205,trà lavender,thức uống,"trà lavender, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà lavender là thức uống thơm nhẹ, dễ chịu và giúp thư giãn. Không phù hợp người tiểu đường nếu dùng nhiều đường.","{""type"":""thức uống"",""taste"":[""floral"",""light"",""sweet""],""ingredients"":[""trà lavender"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""need_relax""],""avoid_for"":[""diabetes""]}","{""good_for"":[""need_relax""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
206,trà sữa vanilla,thức uống,"vanilla, sữa, đường, đá","đá (nhiều/ít/không), sữa (nhiều/ít), đường (nhiều/ít)","{""đá"": [""nhiều"", ""ít"", ""không""], ""sữa"": [""nhiều"", ""ít""], ""đường"": [""nhiều"", ""ít""]}","Trà sữa vanilla là thức uống ngọt nhẹ, thơm mùi vanilla và béo nhẹ. Không phù hợp người tiểu đường hoặc béo phì nếu dùng nhiều đường và sữa.","{""type"":""thức uống"",""taste"":[""sweet"",""fatty"",""vanilla""],""ingredients"":[""vanilla"",""sữa"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""sữa (nhiều/ít)"",""đường (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""diabetes"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
207,bánh tráng nướng,đồ ăn,"bánh tráng, trứng, pate, hành, bò khô","trứng (nhiều/ít), pate (nhiều/ít), bò khô (nhiều/ít), hành (nhiều/ít/không), ớt (nhiều/ít/không)","{""trứng"": [""nhiều"", ""ít""], ""pate"": [""nhiều"", ""ít""], ""bò_khô"": [""nhiều"", ""ít""], ""hành"": [""nhiều"", ""ít"", ""không""], ""ớt"": [""nhiều"", ""ít"", ""không""]}","Bánh tráng nướng là món ăn vặt giòn, mặn nhẹ và thơm. Không phù hợp người béo phì hoặc cao huyết áp do pate và bò khô nhiều muối.","{""type"":""đồ ăn"",""taste"":[""salty"",""umami"",""crispy""],""ingredients"":[""bánh tráng"",""trứng"",""pate"",""hành"",""bò khô""],""options"":[""trứng (nhiều/ít)"",""pate (nhiều/ít)"",""bò khô (nhiều/ít)"",""hành (nhiều/ít/không)"",""ớt (nhiều/ít/không)""],""suitable_for"":[""light_meal"",""with_friends""],""avoid_for"":[""high_blood_pressure"",""obesity""]}","{""good_for"":[""light_meal"",""with_friends""],""bad_for"":[""high_blood_pressure"",""obesity""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":true,""hot_weather"":true,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":false}",
208,bánh căn,đồ ăn,"bột gạo, trứng, tôm, hành","trứng (nhiều/ít), tôm (nhiều/ít), hành (nhiều/ít/không), nước chấm (cay/không cay)","{""trứng"": [""nhiều"", ""ít""], ""tôm"": [""nhiều"", ""ít""], ""hành"": [""nhiều"", ""ít"", ""không""], ""nước_chấm"": [""cay"", ""không cay""]}","Bánh căn là món ăn nóng, giòn nhẹ và thơm mùi trứng. Không phù hợp người cholesterol cao hoặc dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory"",""umami"",""warm""],""ingredients"":[""bột gạo"",""trứng"",""tôm"",""hành""],""options"":[""trứng (nhiều/ít)"",""tôm (nhiều/ít)"",""hành (nhiều/ít/không)"",""nước chấm (cay/không cay)""],""suitable_for"":[""light_meal""],""avoid_for"":[""high_cholesterol"",""seafood_allergy"",""gout""]}","{""good_for"":[""light_meal""],""bad_for"":[""high_cholesterol"",""seafood_allergy"",""gout""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
209,bánh bèo,đồ ăn,"bột gạo, tôm cháy, hành phi, mỡ hành","tôm cháy (nhiều/ít), mỡ hành (nhiều/ít/không), hành phi (nhiều/ít/không), nước mắm (cay/không cay)","{""tôm_cháy"": [""nhiều"", ""ít""], ""mỡ_hành"": [""nhiều"", ""ít"", ""không""], ""hành_phi"": [""nhiều"", ""ít"", ""không""], ""nước_mắm"": [""cay"", ""không cay""]}","Bánh bèo là món mềm, thơm mùi tôm cháy và mỡ hành. Không phù hợp người cao huyết áp hoặc gan nhiễm mỡ.","{""type"":""đồ ăn"",""taste"":[""savory"",""umami"",""soft""],""ingredients"":[""bột gạo"",""tôm cháy"",""hành phi"",""mỡ hành""],""options"":[""tôm cháy (nhiều/ít)"",""mỡ hành (nhiều/ít/không)"",""hành phi (nhiều/ít/không)"",""nước mắm (cay/không cay)""],""suitable_for"":[""light_meal""],""avoid_for"":[""high_blood_pressure"",""fatty_liver""]}","{""good_for"":[""light_meal""],""bad_for"":[""high_blood_pressure"",""fatty_liver""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
